Id,LotArea,Street,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,GarageType,YrSold,SalePrice
391,8405,Pave,Reg,1.5Fin,5,8,1900,Detchd,2008,119000
392,12209,Pave,IR1,2Story,6,5,2001,BuiltIn,2009,215000
393,8339,Pave,IR1,1Story,5,7,1959,Attchd,2007,106500
394,7446,Pave,Reg,1Story,4,5,1941,NA,2006,100000
395,10134,Pave,Reg,1.5Fin,5,6,1940,Detchd,2007,109000
396,9571,Pave,Reg,1Story,5,6,1956,Attchd,2010,129000
397,7200,Pave,Reg,1Story,5,5,1972,Detchd,2009,123000
398,7590,Pave,Reg,2Story,5,5,1962,Attchd,2007,169500
399,8967,Pave,Reg,1Story,5,2,1920,Detchd,2007,67000
400,8125,Pave,Reg,2Story,7,5,2006,Attchd,2009,241000
401,14963,Pave,IR2,1Story,8,5,1996,Attchd,2008,245500
402,8767,Pave,IR1,1Story,7,5,2005,Attchd,2006,164990
403,10200,Pave,Reg,1Story,5,8,1940,Detchd,2008,108000
404,12090,Pave,Reg,2Story,8,5,1998,BuiltIn,2006,258000
405,10364,Pave,IR1,2Story,6,5,1995,BuiltIn,2007,168000
406,9991,Pave,IR1,1Story,4,4,1976,Attchd,2009,150000
407,10480,Pave,Reg,1.5Fin,6,5,1936,Detchd,2008,115000
408,15576,Pave,Reg,2Story,6,7,1915,Attchd,2008,177000
409,14154,Pave,Reg,2Story,7,5,2006,Attchd,2007,280000
410,10800,Pave,Reg,2Story,8,5,2007,Attchd,2008,339750
411,9571,Pave,Reg,1Story,5,3,1958,Attchd,2009,60000
412,34650,Pave,Reg,1Story,5,5,1955,Attchd,2006,145000
413,4403,Pave,IR2,1Story,7,5,2009,Attchd,2010,222000
414,8960,Pave,Reg,1Story,5,6,1927,Detchd,2010,115000
415,11228,Pave,IR2,2Story,7,5,1993,Attchd,2008,228000
416,8899,Pave,IR1,1Story,7,5,2007,Attchd,2007,181134
417,7844,Pave,Reg,2Story,6,7,1978,Attchd,2006,149500
418,22420,Pave,IR1,2Story,6,6,1918,Detchd,2007,239000
419,8160,Pave,Reg,1.5Fin,5,6,1940,Detchd,2007,126000
420,8450,Pave,Reg,1Story,5,6,1968,Attchd,2010,142000
421,7060,Pave,Reg,SFoyer,7,5,1997,Attchd,2008,206300
422,16635,Pave,IR1,1Story,6,7,1977,Attchd,2009,215000
423,21750,Pave,Reg,1Story,5,5,1954,Attchd,2008,113000
424,9200,Pave,Reg,2Story,8,5,1998,Attchd,2008,315000
425,9000,Pave,Reg,1Story,6,5,1956,Attchd,2008,139000
426,3378,Pave,Reg,2Story,7,8,1946,Detchd,2009,135000
427,12800,Pave,Reg,SLvl,7,5,1989,Attchd,2009,275000
428,8593,Pave,IR1,1Story,4,6,1957,Detchd,2008,109008
429,6762,Pave,Reg,1Story,7,5,2007,Attchd,2007,195400
430,11457,Pave,IR1,1Story,6,5,1988,Attchd,2009,175000
431,1680,Pave,Reg,2Story,6,5,1971,Detchd,2008,85400
432,5586,Pave,IR1,1.5Fin,6,7,1920,NA,2008,79900
433,1920,Pave,Reg,2Story,5,5,1971,Detchd,2007,122500
434,10839,Pave,IR1,2Story,6,5,1997,Attchd,2008,181000
435,1890,Pave,Reg,SFoyer,4,7,1972,NA,2008,81000
436,10667,Pave,IR2,2Story,7,6,1996,Attchd,2009,212000
437,4400,Pave,Reg,1.5Fin,6,8,1920,Detchd,2006,116000
438,6000,Pave,Reg,1.5Unf,6,7,1926,Detchd,2009,119000
439,4280,Pave,Reg,1Story,5,6,1913,Detchd,2007,90350
440,12354,Pave,Reg,1.5Fin,6,8,1920,Detchd,2009,110000
441,15431,Pave,Reg,1Story,10,5,2008,Attchd,2009,555000
442,12108,Pave,Reg,1Story,4,4,1955,NA,2008,118000
443,6240,Pave,Reg,1.5Fin,5,7,1930,Detchd,2008,162900
444,3922,Pave,Reg,1Story,7,5,2006,Attchd,2007,172500
445,8750,Pave,Reg,2Story,7,5,1994,Attchd,2008,210000
446,9855,Pave,Reg,1Story,6,5,1956,Attchd,2009,127500
447,16492,Pave,IR1,1Story,6,6,1966,Attchd,2010,190000
448,11214,Pave,IR1,2Story,7,5,1998,Attchd,2006,199900
449,8600,Pave,Reg,1.5Fin,6,6,1937,Detchd,2006,119500
450,6000,Pave,Reg,1.5Fin,3,7,1948,Detchd,2007,120000
451,5684,Pave,Reg,1Story,6,8,1930,Detchd,2006,110000
452,70761,Pave,IR1,1Story,7,5,1975,Attchd,2006,280000
453,9303,Pave,IR1,2Story,6,5,1996,Attchd,2007,204000
454,9000,Pave,Reg,2Story,8,5,2008,Attchd,2009,210000
455,9297,Pave,Reg,1Story,5,5,1976,Detchd,2006,188000
456,9600,Pave,Reg,1Story,7,6,1973,Attchd,2007,175500
457,4571,Pave,Reg,2Story,5,5,1916,Detchd,2008,98000
458,53227,Pave,IR1,1Story,4,6,1954,Attchd,2008,256000
459,5100,Pave,Reg,2Story,8,7,1925,Detchd,2008,161000
460,7015,Pave,IR1,1.5Fin,5,4,1950,Detchd,2009,110000
461,8004,Pave,IR1,2Story,8,5,2009,BuiltIn,2009,263435
462,7200,Pave,Reg,2Story,7,9,1936,Detchd,2009,155000
463,8281,Pave,IR1,1Story,5,5,1965,Detchd,2009,62383
464,11988,Pave,IR1,2Story,6,7,1934,Detchd,2008,188700
465,8430,Pave,Reg,1Story,5,5,1978,NA,2009,124000
466,3072,Pave,Reg,1Story,7,5,2004,Attchd,2006,178740
467,10628,Pave,Reg,1Story,7,5,1970,Attchd,2007,167000
468,9480,Pave,Reg,2Story,5,7,1942,Attchd,2007,146500
469,11428,Pave,IR1,1Story,8,5,2006,Attchd,2007,250000
470,9291,Pave,IR1,2Story,6,5,1993,Attchd,2008,187000
471,6820,Pave,IR1,1Story,8,5,1985,Attchd,2010,212000
472,11952,Pave,Reg,2Story,7,6,1977,Attchd,2007,190000
473,3675,Pave,Reg,SLvl,6,5,2005,Basment,2008,148000
474,14977,Pave,IR1,1Story,8,5,2006,Attchd,2007,440000
475,5330,Pave,Reg,1Story,8,5,2000,Attchd,2007,251000
476,8480,Pave,Reg,1Story,5,6,1963,Detchd,2007,132500
477,13125,Pave,Reg,1Story,6,5,1997,Attchd,2008,208900
478,13693,Pave,Reg,2Story,9,5,2006,BuiltIn,2007,380000
479,10637,Pave,Reg,1Story,8,5,2007,Attchd,2009,297000
480,5925,Pave,Reg,1Story,4,7,1937,Detchd,2007,89471
481,16033,Pave,IR1,1Story,9,5,2004,Attchd,2006,326000
482,11846,Pave,IR1,1Story,9,5,2003,Attchd,2006,374000
483,2500,Pave,Reg,2Story,7,8,1915,Attchd,2009,155000
484,4500,Pave,Reg,1Story,6,5,1998,Attchd,2006,164000
485,7758,Pave,IR1,1Story,5,7,1962,Detchd,2007,132500
486,9600,Pave,Reg,1Story,5,7,1950,Attchd,2009,147000
487,10289,Pave,Reg,1Story,5,7,1965,Attchd,2007,156000
488,12243,Pave,IR1,1Story,5,6,1971,Attchd,2007,175000
489,10800,Pave,Reg,1.5Fin,5,4,1900,Attchd,2006,160000
490,1526,Pave,Reg,SFoyer,4,8,1970,Attchd,2009,86000
491,2665,Pave,Reg,2Story,5,6,1976,BuiltIn,2008,115000
492,9490,Pave,Reg,1.5Fin,6,7,1941,Attchd,2006,133000
493,15578,Pave,IR1,2Story,6,5,2006,Attchd,2006,172785
494,7931,Pave,Reg,1Story,5,6,1960,Detchd,2008,155000
495,5784,Pave,Reg,1Story,5,8,1938,Attchd,2009,91300
496,7879,Pave,Reg,1Story,4,5,1920,NA,2009,34900
497,12692,Pave,IR1,1Story,8,5,1992,Attchd,2007,430000
498,9120,Pave,Reg,1.5Fin,7,6,1925,Detchd,2008,184000
499,7800,Pave,Reg,1Story,5,7,1967,Attchd,2009,130000
500,7535,Pave,IR1,1Story,5,7,1958,Attchd,2007,120000
501,1890,Pave,Reg,2Story,6,5,1973,Detchd,2007,113000
502,9803,Pave,Reg,2Story,7,5,2005,Attchd,2008,226700
503,9170,Pave,Reg,1Story,5,7,1965,Detchd,2007,140000
504,15602,Pave,IR1,1Story,7,8,1959,Attchd,2010,289000
505,2308,Pave,Reg,2Story,6,5,1974,Attchd,2009,147000
506,7596,Pave,Reg,2Story,5,5,1952,Detchd,2009,124500
507,9554,Pave,IR1,2Story,8,5,1993,Attchd,2006,215000
508,7862,Pave,IR1,1Story,6,5,2009,Attchd,2009,208300
509,9600,Pave,Reg,2Story,7,9,1928,Detchd,2008,161000
510,9600,Pave,Reg,1Story,5,6,1959,Attchd,2009,124500
511,14559,Pave,Reg,1Story,5,7,1951,CarPort,2009,164900
512,6792,Pave,IR1,1Story,7,5,2005,Attchd,2006,202665
513,9100,Pave,Reg,1Story,5,5,1958,Detchd,2006,129900
514,9187,Pave,Reg,1Story,6,5,1983,Attchd,2007,134000
515,10594,Pave,Reg,1.5Unf,5,5,1926,Detchd,2007,96500
516,12220,Pave,Reg,1Story,10,5,2009,Attchd,2009,402861
517,10448,Pave,IR1,SLvl,6,6,1972,Attchd,2009,158000
518,10208,Pave,IR1,2Story,7,5,1996,Attchd,2009,265000
519,9531,Pave,IR1,2Story,6,5,1998,Attchd,2007,211000
520,10918,Pave,Reg,2Story,7,9,1926,Detchd,2009,234000
521,10800,Pave,Reg,2Story,4,7,1900,NA,2008,106250
522,11988,Pave,IR1,1Story,6,6,1957,Attchd,2007,150000
523,5000,Pave,Reg,1.5Fin,6,7,1947,Detchd,2006,159000
524,40094,Pave,IR1,2Story,10,5,2007,BuiltIn,2007,184750
525,11787,Pave,IR1,2Story,7,5,1996,Attchd,2007,315750
526,7500,Pave,Reg,1Story,7,5,2005,Attchd,2006,176000
527,13300,Pave,Reg,1Story,5,7,1956,Attchd,2007,132000
528,14948,Pave,IR1,2Story,9,5,2008,Attchd,2008,446261
529,9098,Pave,IR1,1Story,4,7,1920,NA,2007,86000
530,32668,Pave,IR1,1Story,6,3,1957,Attchd,2007,200624
531,10200,Pave,Reg,SLvl,6,5,1988,Attchd,2008,175000
532,6155,Pave,IR1,2Story,6,8,1920,Detchd,2008,128000
533,7200,Pave,Reg,1Story,5,7,1955,Detchd,2010,107500
534,5000,Pave,Reg,1Story,1,3,1946,NA,2007,39300
535,9056,Pave,IR1,2Story,8,5,2004,Attchd,2006,178000
536,7000,Pave,Reg,2Story,5,7,1910,NA,2008,107500
537,8924,Pave,IR1,2Story,7,5,1998,Attchd,2008,188000
538,12735,Pave,IR1,1Story,4,5,1972,Detchd,2008,111250
539,11553,Pave,IR1,1Story,5,5,1968,Attchd,2006,158000
540,11423,Pave,Reg,1Story,8,5,2001,Attchd,2010,272000
541,14601,Pave,Reg,1Story,9,5,2006,Attchd,2009,315000
542,11000,Pave,Reg,2Story,8,5,2000,BuiltIn,2007,248000
543,10140,Pave,Reg,1Story,7,5,1998,Attchd,2009,213250
544,4058,Pave,Reg,SFoyer,7,5,1998,Attchd,2007,133000
545,17104,Pave,IR1,2Story,7,5,2006,Attchd,2006,179665
546,13837,Pave,IR1,1.5Fin,7,5,1988,Attchd,2006,229000
547,8737,Pave,IR1,1.5Fin,6,7,1923,Detchd,2007,210000
548,7244,Pave,Reg,SFoyer,5,7,1970,Detchd,2007,129500
549,8235,Pave,IR1,1Story,5,7,1955,Detchd,2008,125000
550,9375,Pave,Reg,2Story,7,5,2003,BuiltIn,2009,263000
551,4043,Pave,Reg,1Story,6,6,1977,Attchd,2008,140000
552,6000,Pave,Reg,1Story,5,6,1957,Attchd,2008,112500
553,11146,Pave,IR1,1Story,8,5,2006,Attchd,2009,255500
554,8777,Pave,Reg,1Story,4,5,1949,Detchd,2009,108000
555,10625,Pave,Reg,2Story,7,5,2003,BuiltIn,2008,284000
556,6380,Pave,Reg,1.5Unf,5,6,1922,Detchd,2006,113000
557,14850,Pave,IR1,1Story,5,5,1957,Attchd,2006,141000
558,11040,Pave,Reg,1.5Fin,4,6,1920,CarPort,2006,108000
559,21872,Pave,IR2,2Story,7,5,1996,Attchd,2008,175000
560,3196,Pave,Reg,1Story,7,5,2003,Attchd,2006,234000
561,11341,Pave,IR1,1Story,5,6,1957,Detchd,2010,121500
562,10010,Pave,Reg,1Story,5,5,1974,Attchd,2006,170000
563,13907,Pave,Reg,1Story,5,6,1940,NA,2008,108000
564,21780,Pave,Reg,1.5Fin,6,7,1918,Detchd,2008,185000
565,13346,Pave,IR1,2Story,7,5,1992,Attchd,2006,268000
566,6858,Pave,Reg,2Story,6,4,1915,Detchd,2010,128000
567,11198,Pave,IR1,2Story,9,5,2005,BuiltIn,2008,325000
568,10171,Pave,IR1,1Story,7,5,2004,Attchd,2010,214000
569,12327,Pave,IR1,1.5Fin,8,8,1983,BuiltIn,2009,316600
570,7032,Pave,IR1,SFoyer,5,5,1979,Detchd,2006,135960
571,13101,Pave,IR1,1Story,5,5,1965,Detchd,2008,142600
572,7332,Pave,Reg,1Story,6,6,1959,Attchd,2006,120000
573,13159,Pave,IR1,2Story,7,5,2009,Attchd,2009,224500
574,9967,Pave,IR1,SLvl,7,5,2000,BuiltIn,2007,170000
575,10500,Pave,Reg,SLvl,5,7,1971,BuiltIn,2007,139000
576,8480,Pave,Reg,1.5Fin,5,5,1947,Detchd,2008,118500
577,6292,Pave,Reg,1.5Fin,7,7,1928,Detchd,2009,145000
578,11777,Pave,IR1,SLvl,5,6,1966,Attchd,2006,164500
579,3604,Pave,Reg,2Story,7,5,2007,Detchd,2008,146000
580,12150,Pave,Reg,1.5Fin,5,5,1954,Attchd,2008,131500
581,14585,Pave,IR1,1Story,6,6,1960,Attchd,2007,181900
582,12704,Pave,Reg,1Story,8,5,2008,Attchd,2009,253293
583,11841,Grvl,Reg,SFoyer,6,5,1990,NA,2007,118500
584,13500,Pave,Reg,2.5Unf,10,9,1893,Detchd,2008,325000
585,6120,Pave,Reg,1.5Fin,4,7,1935,Detchd,2009,133000
586,11443,Pave,Reg,1Story,8,5,2005,Attchd,2006,369900
587,10267,Pave,Reg,1Story,6,7,1918,Detchd,2008,130000
588,8740,Pave,IR1,SFoyer,5,6,1982,Detchd,2009,137000
589,25095,Pave,IR1,1Story,5,8,1968,Attchd,2009,143000
590,9100,Pave,Reg,1Story,5,6,1930,Detchd,2008,79500
591,8320,Pave,Reg,2Story,7,5,2004,Attchd,2008,185900
592,13478,Pave,IR1,2Story,10,5,2008,BuiltIn,2009,451950
593,6600,Pave,Reg,1Story,5,8,1982,Detchd,2008,138000
594,4435,Pave,Reg,1Story,6,5,2003,Attchd,2009,140000
595,7990,Pave,IR1,1Story,5,6,1975,Detchd,2008,110000
596,11302,Pave,IR1,1Story,8,5,2005,Attchd,2006,319000
597,3600,Pave,Reg,2Story,6,7,1910,Detchd,2006,114504
598,3922,Pave,Reg,1Story,7,5,2006,Attchd,2007,194201
599,12984,Pave,Reg,1Story,5,6,1977,Attchd,2006,217500
600,1950,Pave,Reg,2Story,6,6,1980,Attchd,2008,151000
601,10927,Pave,Reg,2Story,8,5,2005,BuiltIn,2006,275000
602,9000,Pave,Reg,1.5Fin,6,6,1937,Detchd,2007,141000
603,10041,Pave,IR1,2Story,8,5,1992,Attchd,2006,220000
604,3182,Pave,Reg,2Story,7,5,2004,Detchd,2010,151000
605,12803,Pave,IR1,1Story,7,5,2002,Attchd,2008,221000
606,13600,Pave,Reg,2Story,7,6,1965,Attchd,2009,205000
607,12464,Pave,IR2,1Story,5,5,1996,Detchd,2009,152000
608,7800,Pave,Reg,2Story,5,8,1948,Attchd,2006,225000
609,12168,Pave,Reg,2Story,8,6,1934,Basment,2007,359100
610,7943,Pave,Reg,1Story,4,5,1961,Attchd,2007,118500
611,11050,Pave,Reg,2Story,9,5,2000,Attchd,2009,313000
612,10395,Pave,IR1,SLvl,6,6,1978,Attchd,2007,148000
613,11885,Pave,Reg,2Story,8,5,2001,BuiltIn,2009,261500
614,8402,Pave,Reg,1Story,5,5,2007,NA,2007,147000
615,1491,Pave,Reg,SFoyer,4,6,1972,NA,2010,75500
616,8800,Pave,Reg,SFoyer,6,7,1963,Attchd,2010,137500
617,7861,Pave,IR1,2Story,6,5,2002,Attchd,2006,183200
618,7227,Pave,Reg,1.5Unf,6,6,1954,Detchd,2008,105500
619,11694,Pave,Reg,1Story,9,5,2007,Attchd,2007,314813
620,12244,Pave,Reg,2Story,8,5,2003,Attchd,2008,305000
621,8248,Pave,Reg,1Story,3,3,1914,NA,2008,67000
622,10800,Pave,Reg,2Story,6,7,1974,Attchd,2008,240000
623,7064,Pave,Reg,1Story,5,6,1977,Detchd,2009,135000
624,2117,Pave,Reg,2Story,6,5,2000,Detchd,2007,168500
625,10400,Pave,Reg,2Story,6,5,1972,Attchd,2006,165150
626,10000,Pave,IR1,1Story,6,6,1962,Attchd,2010,160000
627,12342,Pave,IR1,1Story,5,5,1960,Attchd,2007,139900
628,9600,Pave,Reg,SLvl,6,6,1955,Basment,2010,153000
629,11606,Pave,IR1,2Story,5,5,1969,Attchd,2007,135000
630,9020,Pave,Reg,SLvl,6,5,1964,Attchd,2008,168500
631,9000,Pave,Reg,2Story,5,6,1880,Detchd,2006,124000
632,4590,Pave,Reg,1Story,8,5,2006,Attchd,2007,209500
633,11900,Pave,Reg,1Story,7,5,1977,Attchd,2009,82500
634,9250,Pave,Reg,1Story,5,7,1954,Attchd,2007,139400
635,6979,Pave,Reg,SFoyer,6,5,1980,Detchd,2010,144000
636,10896,Pave,Reg,2.5Fin,6,7,1914,NA,2007,200000
637,6120,Pave,Reg,1Story,2,3,1936,NA,2009,60000
638,6000,Pave,Reg,1.5Fin,5,4,1954,BuiltIn,2009,93000
639,8777,Pave,Reg,1Story,5,7,1910,NA,2008,85000
640,3982,Pave,Reg,1Story,8,5,2006,Attchd,2006,264561
641,12677,Pave,IR1,1Story,8,5,2003,Attchd,2008,274000
642,7050,Pave,Reg,2Story,7,5,2001,Attchd,2007,226000
643,13860,Pave,Reg,SLvl,8,7,1972,Attchd,2009,345000
644,10793,Pave,Reg,2Story,5,5,1969,Attchd,2007,152000
645,9187,Pave,Reg,1Story,9,5,2009,Attchd,2009,370878
646,10530,Pave,IR1,1Story,6,5,1971,Detchd,2007,143250
647,7200,Pave,Reg,1Story,5,5,1950,Detchd,2008,98300
648,10452,Pave,IR1,1Story,6,5,1953,Attchd,2008,155000
649,7700,Pave,Reg,2Story,6,5,1966,Attchd,2010,155000
650,1936,Pave,Reg,SFoyer,4,6,1970,NA,2007,84500
651,8125,Pave,Reg,2Story,7,6,2007,Attchd,2008,205950
652,9084,Pave,Reg,2Story,4,5,1940,Detchd,2009,108000
653,8750,Pave,Reg,2Story,7,5,1996,Attchd,2009,191000
654,10320,Pave,Reg,1.5Fin,6,7,1906,Detchd,2008,135000
655,10437,Pave,IR1,1Story,8,6,1995,Attchd,2008,350000
656,1680,Pave,Reg,2Story,6,5,1971,Detchd,2010,88000
657,10007,Pave,IR1,1Story,5,7,1959,Attchd,2008,145500
658,7200,Pave,Reg,2Story,7,6,1931,Attchd,2008,149000
659,17503,Pave,Reg,1.5Fin,6,5,1948,Attchd,2010,97500
660,9937,Pave,Reg,1Story,5,7,1964,Detchd,2009,167000
661,12384,Pave,Reg,2Story,7,7,1976,Attchd,2007,197900
662,46589,Pave,IR2,2Story,8,7,1994,Attchd,2009,402000
663,13560,Pave,Reg,1Story,6,3,1968,Attchd,2009,110000
664,10012,Pave,Reg,SFoyer,4,5,1972,Detchd,2008,137500
665,20896,Pave,IR2,1Story,8,5,2005,Attchd,2006,423000
666,11194,Pave,IR1,2Story,8,5,2000,Attchd,2006,230500
667,18450,Pave,IR1,2Story,6,5,1965,CarPort,2007,129000
668,8125,Pave,Reg,1Story,6,5,1994,Attchd,2008,193500
669,14175,Pave,Reg,1Story,5,6,1956,Detchd,2006,168000
670,11600,Pave,Reg,1Story,4,5,1922,Detchd,2006,137500
671,8633,Pave,Reg,2Story,6,5,2005,Attchd,2009,173500
672,6629,Pave,Reg,2Story,6,6,1925,Detchd,2009,103600
673,11250,Pave,IR1,1Story,6,6,1977,Attchd,2006,165000
674,14442,Pave,Reg,1Story,6,7,1957,Attchd,2007,257500
675,9200,Pave,Reg,1Story,6,6,1965,Attchd,2008,140000
676,2289,Pave,Reg,2Story,6,6,1978,Attchd,2009,148500
677,9600,Pave,Reg,2Story,4,2,1900,2Types,2006,87000
678,9022,Pave,Reg,1Story,5,8,1924,Detchd,2009,109500
679,11844,Pave,IR1,1Story,8,5,2008,Attchd,2009,372500
680,9945,Pave,IR1,1Story,5,5,1961,Detchd,2007,128500
681,8012,Pave,Reg,1Story,6,5,1980,Attchd,2010,143000
682,4500,Pave,IR2,1.5Fin,5,5,1932,Detchd,2009,159434
683,2887,Pave,Reg,1Story,6,5,1996,Attchd,2008,173000
684,11248,Pave,IR1,1Story,9,5,2002,Attchd,2007,285000
685,16770,Pave,IR2,2Story,7,5,1998,Attchd,2010,221000
686,5062,Pave,IR1,2Story,7,5,1984,Attchd,2007,207500
687,10207,Pave,Reg,2Story,7,6,2007,Attchd,2007,227875
688,5105,Pave,IR2,2Story,7,5,2004,Detchd,2007,148800
689,8089,Pave,Reg,1Story,8,6,2007,Attchd,2007,392000
690,7577,Pave,IR1,1Story,6,5,2005,Attchd,2007,194700
691,4426,Pave,Reg,1Story,6,5,2004,Attchd,2008,141000
692,21535,Pave,IR1,2Story,10,6,1994,Attchd,2007,755000
693,26178,Pave,IR1,2Story,7,5,1989,Attchd,2006,335000
694,5400,Pave,Reg,1Story,5,6,1921,Detchd,2006,108480
695,6120,Pave,Reg,1.5Fin,5,6,1936,Detchd,2009,141500
696,13811,Pave,IR1,1Story,6,6,1987,Attchd,2006,176000
697,6000,Pave,Reg,1Story,5,7,1921,Detchd,2006,89000
698,6420,Pave,IR1,1Story,5,7,1952,Detchd,2006,123500
699,8450,Pave,Reg,1Story,5,8,1965,Detchd,2010,138500
700,4282,Pave,IR2,1Story,7,5,2004,Attchd,2008,196000
701,14331,Pave,Reg,1Story,8,5,2002,Attchd,2006,312500
702,9600,Pave,Reg,1Story,7,5,1969,Attchd,2006,140000
703,12438,Pave,IR1,2Story,8,5,2006,BuiltIn,2006,361919
704,7630,Pave,Reg,2Story,5,9,1900,Detchd,2010,140000
705,8400,Pave,Reg,1Story,7,5,2004,Attchd,2010,213000
706,5600,Pave,Reg,2Story,4,5,1930,NA,2010,55000
707,115149,Pave,IR2,1Story,7,5,1971,Attchd,2007,302000
708,6240,Pave,Reg,1Story,8,5,2006,Attchd,2009,254000
709,9018,Pave,IR1,2Story,7,5,2007,Attchd,2007,179540
710,7162,Pave,IR1,1Story,5,7,1966,Attchd,2008,109900
711,4130,Pave,IR1,1Story,3,6,1935,NA,2008,52000
712,8712,Pave,Reg,1.5Fin,4,7,1900,Detchd,2010,102776
713,4671,Pave,IR1,1Story,8,5,1988,Attchd,2008,189000
714,9873,Pave,Reg,1Story,4,5,1970,Detchd,2006,129000
715,13517,Pave,IR1,2Story,6,8,1976,Attchd,2010,130500
716,10140,Pave,Reg,1Story,6,5,1974,Attchd,2009,165000
717,10800,Pave,Reg,2Story,7,8,1890,Detchd,2007,159500
718,10000,Pave,Reg,1Story,5,6,1973,Attchd,2008,157000
719,10542,Pave,Reg,2Story,7,5,1993,Attchd,2008,341000
720,9920,Pave,IR1,1Story,5,6,1969,Attchd,2006,128500
721,6563,Pave,IR1,1Story,8,5,1985,Attchd,2006,275000
722,4426,Pave,Reg,1Story,6,5,2004,Attchd,2010,143000
723,8120,Pave,Reg,1Story,4,7,1970,Detchd,2009,124500
724,8172,Pave,Reg,1.5Fin,4,6,1954,Detchd,2008,135000
725,13286,Pave,IR1,1Story,9,5,2007,Attchd,2009,320000
726,6960,Pave,Reg,1Story,4,6,1970,Detchd,2009,120500
727,21695,Pave,IR1,1Story,6,9,1988,Attchd,2009,222000
728,7314,Pave,Reg,1Story,7,5,2007,Attchd,2009,194500
729,11475,Pave,Reg,1Story,5,5,1958,Detchd,2009,110000
730,6240,Pave,Reg,1.5Fin,4,5,1925,Detchd,2009,103000
731,5389,Pave,IR1,1Story,8,5,1995,Attchd,2010,236500
732,9590,Pave,IR1,SLvl,7,5,2003,Attchd,2007,187500
733,11404,Pave,IR1,2Story,7,5,1998,Attchd,2008,222500
734,10000,Pave,Reg,1Story,5,6,1961,Attchd,2009,131400
735,8978,Pave,IR1,1Story,5,5,1968,Attchd,2007,108000
736,10800,Pave,Reg,2.5Unf,7,7,1914,Detchd,2006,163000
737,8544,Pave,Reg,1Story,3,4,1950,Detchd,2006,93500
738,10463,Pave,IR1,2Story,8,5,2005,Attchd,2006,239900
739,10800,Pave,Reg,1Story,5,5,1987,NA,2009,179000
740,9313,Pave,IR1,2Story,7,5,2004,Attchd,2009,190000
741,9600,Pave,Reg,2Story,5,7,1910,Detchd,2007,132000
742,6768,Pave,IR1,1Story,6,8,1961,Detchd,2008,142000
743,8450,Pave,Reg,1Story,7,5,2000,Attchd,2007,179000
744,12886,Pave,IR1,SLvl,5,6,1963,Attchd,2009,175000
745,5395,Pave,IR1,1Story,8,5,1993,Attchd,2008,180000
746,8963,Pave,IR1,2Story,8,9,1976,BuiltIn,2008,299800
747,8795,Pave,IR1,2Story,7,5,2000,BuiltIn,2009,236000
748,11700,Pave,IR1,2Story,7,7,1880,Detchd,2009,265979
749,10593,Pave,IR1,1Story,7,5,1996,Attchd,2010,260400
750,8405,Pave,Reg,1.5Fin,4,3,1945,Detchd,2009,98000
751,8800,Pave,Reg,1.5Fin,4,7,1910,NA,2010,96500
752,7750,Pave,Reg,2Story,7,5,2003,Attchd,2007,162000
753,9236,Pave,IR1,1Story,6,5,1997,Attchd,2006,217000
754,10240,Pave,Reg,2Story,8,5,2005,Attchd,2006,275500
755,7930,Pave,Reg,1Story,6,8,1969,Detchd,2009,156000
756,3230,Pave,Reg,2Story,6,5,1999,Detchd,2009,172500
757,10769,Pave,IR1,2Story,8,5,2007,Attchd,2009,212000
758,11616,Pave,IR1,2Story,6,5,1978,Attchd,2010,158900
759,2280,Pave,Reg,2Story,7,5,1999,Detchd,2008,179400
760,12257,Pave,IR1,2Story,8,5,1995,Attchd,2007,290000
761,9100,Pave,Reg,1Story,6,6,1959,Detchd,2009,127500
762,6911,Pave,Reg,1Story,5,5,1924,Detchd,2009,100000
763,8640,Pave,Reg,2Story,7,5,2009,Attchd,2010,215200
764,9430,Pave,Reg,2Story,8,5,1999,Attchd,2009,337000
765,9549,Pave,IR1,1Story,8,5,1995,Attchd,2006,270000
766,14587,Pave,IR1,1Story,9,5,2008,Attchd,2008,264132
767,10421,Pave,Reg,2Story,7,5,1988,Attchd,2010,196500
768,12508,Pave,IR1,1.5Fin,6,7,1940,Attchd,2008,160000
769,9100,Pave,Reg,1Story,7,5,2004,Attchd,2006,216837
770,53504,Pave,IR2,2Story,8,5,2003,BuiltIn,2010,538000
771,7252,Pave,IR1,SFoyer,5,5,1982,Detchd,2009,134900
772,8877,Pave,Reg,1Story,4,5,1951,Detchd,2006,102000
773,7819,Pave,Reg,SLvl,6,5,1976,Detchd,2010,107000
774,10150,Pave,Reg,1Story,5,5,1958,Attchd,2007,114500
775,14226,Pave,Reg,1Story,8,5,2006,Attchd,2007,395000
776,4500,Pave,Reg,1Story,6,5,1998,Attchd,2009,162000
777,11210,Pave,IR1,1Story,7,5,2005,Attchd,2006,221500
778,13350,Pave,IR1,1Story,5,5,1974,Attchd,2006,142500
779,8400,Pave,Reg,1Story,5,5,1977,Detchd,2007,144000
780,10530,Pave,Reg,SFoyer,6,5,1977,Attchd,2006,135000
781,7875,Pave,Reg,1Story,7,5,1995,Attchd,2007,176000
782,7153,Pave,Reg,2Story,6,5,1992,Attchd,2006,175900
783,16285,Pave,IR2,1Story,7,5,2001,Attchd,2009,187100
